email,prénom,nom,adresse,code postal,ville,/latitude,/longitude,commandes
aalves@brt.fr,ravi,ALVES,3 Chemin des Tilleuls,38100,Grenoble,45.165727,5.735303,"c084,c224,c298"
aandre@sfr.fr,arthur,ANDRE,19 Chemin de Malanot,38700,Corenc,45.217629,5.764548,"c034,c067,c116"
abois@lp.net,amanda,BOIS,10 Chemin du Foulet,38800,Champagnier,45.107609,5.723657,"c287,c338,c342"
adupuis@hot.fr,antoine,DUPLOT,1 Rue Louis Maisonnat,38800,Le Pont-de-Claix,45.13184,5.692503,"c233,c313,c403"
aduval@wan.fr,alban,DUVAL,Impasse Sansaret,38410,Saint-Martin-d'Uriage,45.164697,5.839192,c030
aduval1@wan.fr,amélie,DUVAL,55 Rue du Petit Lac,38950,Saint-Martin-le-Vinoux,45.21678,5.688157,c328
agilles@sfr.fr,axel,GILLES,160bis Avenue Jean Jaures,38320,Eybens,45.148263,5.750864,"c009,c346"
aguyot@hot.fr,alicia,GUYOT,3 Rue Laurent Darve,38170,Seyssinet-Pariset,45.184334,5.695172,c164
aibrahim@but.org,amir,IBRAHIM,6ter Rue de Chamechaude,38360,Sassenage,45.206066,5.684798,c105
akhan@but.org,fatima,KHAN,44 Impasse du Replat,38410,Vaulnaveys-le-Haut,45.12051,5.821951,"c218,c329"
alam@m6.com,yara,LAM,23 Impasse des Myrtilles,38360,Sassenage,45.202262,5.660234,c337
aleme@msn.com,antoine,LEMOINE,40 Rue du Pré Didier,38120,Fontanil-Cornillon,45.249096,5.660703,c089
alemoine1@sfr.fr,axel,LEMOINE,3 rue des abattoirs,38120,Saint-Égrève,45.240528,5.663658,"c042,c352"
alemoyne@wan.fr,anaïs,LEMOYNE,1382 Route de Sarcenas,38950,Quaix-en-Chartreuse,45.246182,5.730494,c385
amartin@wan.fr,agathe,MARTIN,332 Route de la Jars,38950,Quaix-en-Chartreuse,45.25666,5.72195,"c001,c183,c232"
amohed@brt.fr,leyla,MOHAMMED,9 Chemin des Vouillants,38600,Fontaine,45.187277,5.672983,"c022,c216,c336"
amorin@or.fr,albane,MORIN,27 Route du Peuil,38640,Claix,45.139432,5.665961,c253
apascal@or.fr,agathe,PASCAL,88 Chemin du Sonnant,38410,Saint-Martin-d'Uriage,45.150744,5.817776,"c005,c137,c182,c208,c277"
azainab@m6.com,ahmed,ZAINAB,9 Chemin des Vouillants,38600,Fontaine,45.187277,5.672983,"c002,c273,c289"
bbarbier@or.fr,bastien,BARBIER,13 Rue du Bois Taillis,38610,Gières,45.182289,5.781464,c237
bbrunet@or.fr,baptiste,BRUNET,5 Allée du Parc Georges Pompidou,38100,Grenoble,45.176143,5.72014,c268
blee@but.org,jae,LEE,Allee de la Draye,38610,Gières,45.182969,5.799781,c150
bleroux@sfr.fr,bastien,LEROUX,371 Chemin du Replat,38950,Saint-Martin-le-Vinoux,45.22624,5.716715,"c098,c190,c322,c368"
bmoreau@hot.fr,baptiste,MOREAU,236 Chemin des Rochaux,38320,Herbeys,45.145002,5.797061,"c210,c228"
bmorel@or.fr,bastien,MOREL,19 Chemin du Petit Bois,38360,Sassenage,45.21449,5.648892,"c151,c407"
bpetit@hot.fr,baptiste,PETIT,13 Rue du Bois Taillis,38610,Gières,45.182289,5.781464,"c061,c236"
cbonnet@wan.fr,célestin,BONNET,40 Avenue Rhin et Danube,38100,Grenoble,45.177084,5.704045,c076
cbourgeois@sfr.fr,clément,BOURGEOIS,82 Route de Chartreuse,38700,Corenc,45.223819,5.767847,c272
ccarre@hot.fr,clémence,CARRE,7 Rue de Chamrousse,38800,Champagnier,45.134297,5.713453,"c201,c395"
cdupuis@wan.fr,célestin,DUPUIS,251 Chemin des Alberges,38410,Vaulnaveys-le-Haut,45.133564,5.819433,
cdupuis1@gm.fr,claire,DUPUIT,55 Clos des Franquieres,38330,Biviers,45.234571,5.80471,c203
cgarnier@gm.fr,clara,GARNIER,845 Route des Ayettes,38360,Engins,45.18345,5.624244,c290
cgirard@or.fr,camille,GIRARD,48 Chemin de l’Effraie,38320,Herbeys,45.145574,5.793102,c367
cguerin@sfr.fr,célestin,GUERIN,1606 Route de Narbonne,38950,Saint-Martin-le-Vinoux,45.213737,5.705139,c127
cguillaume@lp.net,clara,GUILLAUME,12 Rue de la Liberté,38800,Le Pont-de-Claix,45.127832,5.694268,c300
chenry@hot.fr,clara,HENRY,131 Chemin du Bois,38330,Saint-Ismier,45.255762,5.830537,"c082,c117,c388"
chong@m6.com,sung,HONG,Le Saint Eynard,38700,Le Sappey-en-Chartreuse,45.235147,5.762874,c057
cleclerc@wan.fr,célestin,LECLERC,8 Rue de l'Argentière,38600,Fontaine,45.19966,5.672431,"c072,c091,c378"
clefebvre@lp.net,céleste,LEFEBVRE,19 Rue des Déportés du 11 Novembre 1943,38100,Grenoble,45.179081,5.728609,c165
clegrand@or.fr,célestin,LEGRAND,193 Chemin du Stade,38330,Saint-Ismier,45.24045,5.828058,"c186,c381"
clement@or.fr,charlotte,CLEMENT,2665 Route des Angonnes,38320,Brié-et-Angonnes,45.136824,5.774389,"c320,c365"
clenoir@gm.fr,clémentine,LENOIR,220 Place Déesse Hygie,38410,Saint-Martin-d'Uriage,45.142885,5.830873,c124
cmercier@hot.fr,clara,MERCIER,1 Les Combes,38170,Seyssinet-Pariset,45.170372,5.649922,c011
cpetit@or.fr,clémence,PETIT,2 Route de Saint-Nizier,38170,Seyssinet-Pariset,45.16746,5.677942,c213
cpetit1@lp.net,clémentine,PETIT,58 Route du Peuil,38640,Claix,45.13858,5.658481,"c121,c172"
ebernard@lp.net,éva,BERNARD,40 rue de la gare,38120,Saint-Égrève,45.234024,5.672159,"c017,c168"
edenis@gm.fr,élise,DENIS,785b Chemin des Bourins,38320,Brié-et-Angonnes,45.137021,5.781128,c058
egarnier@sfr.fr,eva,GARNIER,36 Allée du Charivari,38410,Vaulnaveys-le-Bas,45.11163,5.806042,"c113,c146,c217,c246,c398"
egiraud@lp.net,elisa,GIRAUD,34 Rue Aristide Berges,38400,Saint-Martin-d'Hères,45.182416,5.761379,c016
eguerin@wan.fr,elisa,GUERIN,1028 Chemin du Rozat,38330,Saint-Ismier,45.255235,5.833394,c175
elaroche@lp.net,emma,LAROCHE,64 Avenue du Vercors,38600,Fontaine,45.192466,5.693683,"c107,c219,c363"
elefebvre@sfr.fr,enzo,LEFEBVRE,12 Avenue des 4 Chemins,38240,Meylan,45.214423,5.801719,
eleroy@ptr.fr,emma,LEROY,12 Rue du 19 mars 1962,38000,Grenoble,45.188719,5.743671,"c171,c330"
emarchand@ok.fr,elisa,MARCHAND,7 Ensemble immobilier du Domaine des Plantées,38330,Biviers,45.233075,5.804502,"c021,c242,c263"
emasson@gmx.fr,éléna,MASSON,4 Rue Albert Londres,38130,Échirolles,45.14763,5.71848,
emeyer@or.fr,emma,MEYER,210 Impasse Jaillière,38250,Saint-Nizier-du-Moucherotte,45.18342,5.632429,"c037,c402"
emeyer1@or.fr,estelle,MEYER,500 Impasse de Montperet,38410,Vaulnaveys-le-Haut,45.110777,5.827146,"c123,c136,c138,c286"
emoulin@or.fr,emma,MOULIN,241 Chemin des Espinas,38340,Voreppe,45.261026,5.654637,"c056,c351"
hcho@brt.fr,soo,CHO,22 Chemin des Batteries,38700,La Tronche,45.232409,5.74919,"c041,c060,c193"
hkim@brt.fr,hana,KIM,2 Chemin de Noyarey,38700,La Tronche,45.209762,5.738055,c409
hmartin@hot.fr,hugo,MARTIN,57 Chemin du Vieux Chêne,38240,Meylan,45.208218,5.7968,"c111,c331,c369"
hnguyen@brt.fr,minh,NGUYEN,17 Impasse des Longs,38320,Brié-et-Angonnes,45.123591,5.773173,"c087,c257"
idumas@lp.net,inès,DUMAS,182 Allée des Chanterelles,38410,Saint-Martin-d'Uriage,45.145528,5.842889,"c148,c254"
jblanc@hot.fr,julie,BLANC,371 Chemin du Replat,38950,Saint-Martin-le-Vinoux,45.22624,5.716715,"c187,c264"
jdupont@sfr.fr,julie,DUPONT,6 Rue Jean Francois Champollion,38360,Sassenage,45.213553,5.674091,c241
jdurand@gm.fr,julien,DURAND,54 Chemin de Chantemerle,38700,La Tronche,45.22162,5.750429,"c303,c325"
jeyer@or.fr,julie,MEYER,15 Pajon,38700,Corenc,45.212632,5.751604,c379
jfernandez@gm.fr,julie,FERNANDEZ,117 Chemin du Mollarout,38250,Saint-Nizier-du-Moucherotte,45.165433,5.630015,"c118,c280,c294"
jgar@icloud.com,jade,GAUTHIER,16 rue des glairaux,38120,Saint-Égrève,45.222315,5.673202,"c149,c282"
jguie@or.fr,julie,GUILLAUME,1965 Route de Gières,38410,Saint-Martin-d'Uriage,45.158588,5.819766,c249
jguil@or.fr,julie,GUIL,5 Rue du Drac,38130,Échirolles,45.147451,5.692349,"c173,c227"
jjuma@brt.fr,amina,JUMA,737 Route du Gua,38950,Quaix-en-Chartreuse,45.259605,5.707849,"c311,c350"
jlefebvre@or.fr,juliette,LEFEBVRE,710 Rue Aristide Berges,38330,Montbonnot-Saint-Martin,45.221682,5.819505,c297
jmorel@or.fr,jenna,MOREL,296 Chemin des Quartallées,38330,Saint-Ismier,45.252076,5.834169,"c160,c170"
lbarbier@lp.net,léa,BARBIER,21bis Avenue Pierre Mendès-france,38320,Poisat,45.155848,5.761886,"c220,c380,c393,c405"
lbarbier1@lp.net,lola,BARBIER,1 Rue du Saint-eynard,38240,Meylan,45.220077,5.78704,"c245,c318,c372"
lblanc@gm.fr,léo,BLANC,16 Rue Henri Barbusse,38100,Grenoble,45.157124,5.736643,"c012,c018,c051,c075"
lblanc1@lp.net,léo,BAHAH,61 rue de champaviotte,38120,Saint-Égrève,45.228604,5.674229,"c095,c239,c355"
lblanc2@wan.fr,lucas,BLANC,101 Chemin des Epiniers,38320,Herbeys,45.129499,5.799276,"c158,c339"
lbonnet@or.fr,léa,BONNET,92 Chemin de l'Ayat,38420,Murianette,45.190915,5.840639,c293
lboucher@sfr.fr,lilou,BOUCHER,167 Chemin de la Fonderie,38410,Saint-Martin-d'Uriage,45.155884,5.827485,"c265,c308,c344"
lboulanger@gm.fr,louka,BOULANGER,7 Impasse Paul Corbin,38360,Sassenage,45.211497,5.64872,
lbrunet@gm.fr,léo,BRUNET,6 Rue Charles Morel,38420,Domène,45.200509,5.820676,"c135,c295"
lcaron@lp.net,léo,CARON,758 Chemin de l’Egagere,38320,Brié-et-Angonnes,45.125544,5.769076,c364
lcharles@sfr.fr,liam,CHARLES,13 Rue Raoul Blanchard,38400,Saint-Martin-d'Hères,45.190051,5.764019,"c114,c184"
ldubois@wel.fr,léa,DUBOIS,2 Avenue de la Louisiane,38120,Fontanil-Cornillon,45.242747,5.658822,"c015,c132,c307,c309"
ldupuis@hot.fr,lola,DUPUIS,163 Hameau du Château,38360,Sassenage,45.213242,5.65627,"c177,c252"
ldupuis1@hot.fr,louise,DUPUIS,31bis Rue du Progrès,38170,Seyssinet-Pariset,45.184332,5.700013,c353
ldupuis2@hot.fr,marie,DUPUIS,10 Rue Giusto Gervasutti,38000,Grenoble,45.161473,5.726909,"c039,c099,c279,c392"
ldupuis3@gm.fr,théo,DUPUIS,736a Chemin de Blanchetière,38560,Jarrie,45.122299,5.766183,"c074,c142,c271"
lfaure@faure.com,louise,FAURE,81 Route du Peuil,38640,Claix,45.130076,5.64821,"c052,c077,c185,c243"
lferrand@gm.fr,lise,FERRAND,38 Route de Chartreuse,38700,Corenc,45.22705,5.765682,"c348,c349"
lfournier@sfr.fr,léo,FOURNIER,Route d’Uriage,38320,Brié-et-Angonnes,45.114163,5.786173,"c043,c154,c178,c179,c180,c209,c291,c317"
lgarnier@lp.net,lénaïc,GARNIER,Échangeur du Synchrotron,38000,Grenoble,45.207658,5.686785,c024
lgouillaume@sfr.fr,léa,GOUILLAUME,21 Chemin du Boeuf,38330,Biviers,45.233681,5.808711,c386
lguerin@gm.fr,louane,GUERIN,Rue du Triéves,38320,Eybens,45.159686,5.746454,c375
lguillaume@lp.net,léa,GUILLAUME,Chemin des Perrets,38420,Murianette,45.185722,5.826531,"c129,c408"
lguyot@lp.net,louna,GUYOT,17 Avenue du Vercors,38170,Seyssinet-Pariset,45.182207,5.687907,"c020,c110,c387"
ljuma@but.org,ali,JUMA,58 Impasse de Boulière,38700,Le Sappey-en-Chartreuse,45.254789,5.768465,"c047,c153,c156,c157,c376"
llegrand@or.fr,léna,LEGRAND,204 Chemin de Billerey,38330,Biviers,45.236595,5.792103,c321
llegrand1@or.fr,mael,LEGRAND,161bis Cours de la Libération et du Général de Gaulle,38100,Grenoble,45.166782,5.712255,"c050,c090"
llemaitre@bbox.fr,léna,LEMAITRE,12 avenue de la monta,38120,Saint-Égrève,45.236326,5.689243,"c131,c166,c269"
llerouge@free.fr,léonie,LEROUGE,175 Chemin de Pragnier,38320,Herbeys,45.147191,5.777023,"c115,c204,c324,c341"
lmartin@or.fr,léo,MARTIN,Chemin de Charrière,38240,Meylan,45.200435,5.795018,"c027,c108"
lmartinez@or.fr,lucas,MARTINEZ,34 Chemin de Cressanet,38330,Saint-Ismier,45.25853,5.835995,"c086,c181,c240"
lmasson@lp.net,léandro,MASSON,20 Allée de la Calandre,38420,Domène,45.200593,5.830533,"c235,c283"
lmercier@or.fr,léa,MERCIER,306bis Chemin du Louvarou,38560,Jarrie,45.118211,5.756439,"c046,c354,c404"
lmichel@or.fr,louis,MICHEL,1 Rue Jean Francois Champollion,38360,Sassenage,45.214059,5.672702,c316
lmoreau@wan.fr,lucas,MOREAU,777 Route de la Mearie,38950,Quaix-en-Chartreuse,45.25468,5.723202,"c078,c106,c109"
lpetit@gm.fr,léna,PETIT,1917 Route de la Charmette,38120,Proveysieux,45.259839,5.696286,"c068,c188,c215"
lsaleh@brt.fr,aisha,SALEH,114 Chemin des Pensées,38410,Saint-Martin-d'Uriage,45.140189,5.833471,"c003,c004,c013,c262,c374"
mabdel@m6.com,nadia,ABDEL,109 Chemin des Perrets,38420,Murianette,45.186459,5.827571,c304
mabdullah@but.org,salim,ABDULLAH,route de quaix,38120,Saint-Égrève,45.242938,5.693194,"c155,c244,c343"
marnaud@out.fr,mathéo,ARNAUD,23 Chemin de Lagay,38320,Eybens,45.14128,5.747683,"c229,c281"
marnaud1@sfr.fr,maxence,ARNAUD,Rue de la Chantourne,38420,Domène,45.202327,5.825306,"c197,c394"
maziz@m6.com,ali,AZIZ,Pont d'Oxford,38000,Grenoble,45.207106,5.701893,"c085,c256,c259,c306"
mblanc@bbox.fr,matisse,BLANC,155 Chemin de la Source,38420,Murianette,45.182786,5.82211,c162
mbonnet@or.fr,marie,BONNETO,3 Chemin du Fangeat,38180,Seyssins,45.159826,5.663139,"c071,c081,c194,c302,c332"
mbourge@gm.fr,mathéo,BOURGEOIS,274 Chemin du Cheval Perdu,38410,Saint-Martin-d'Uriage,45.141847,5.831489,"c238,c347"
mbourgeois@lp.net,maelle,BOURGEOIS,310 Chemin du Fournet,38320,Herbeys,45.151559,5.799976,c327
mcolin@sfr.fr,margot,COLIN,54 Chemin de Bel Air,38330,Saint-Nazaire-les-Eymes,45.26171,5.842241,"c128,c371"
mcolin1@gm.fr,martin,COLIN,4 Chemin du Champ des Pierres,38800,Champagnier,45.111757,5.720626,"c223,c251"
mdupont@gm.fr,manon,DUPONT,Centrale du Rondeau,38800,Le Pont-de-Claix,45.119316,5.700006,"c267,c315,c319"
mgauthier@sfr.fr,matthieu,GAUTHIER,13 Chemin de la Cote,38800,Champagnier,45.110132,5.733782,c066
mgiraud@gm.fr,manon,GIRAUD,721 Chemin du Replat,38950,Saint-Martin-le-Vinoux,45.229189,5.718844,c401
